timestamps,TP9,AF7,AF8,TP10,Marker0
0.000,16.113,-27.832,-23.438,15.625,NaN
0.004,11.230,-8.301,-34.180,0.488,NaN
0.008,2.441,-3.906,-42.480,-4.883,NaN
0.012,-4.395,-17.578,-40.039,-9.766,NaN
0.016,-4.395,-19.043,-38.574,-10.742,NaN
0.020,-11.230,-28.320,-39.062,-10.254,NaN
0.023,-14.160,-25.879,-23.926,-11.230,NaN
0.027,-0.977,-21.484,-14.160,-6.836,NaN
0.031,12.207,-39.551,-22.461,0.000,NaN
0.035,23.926,-36.621,-28.809,4.395,NaN
0.039,4.395,-39.062,-41.992,-3.418,NaN
0.043,-3.906,-29.297,-45.898,0.488,NaN
0.045,4.395,2.441,-38.086,3.906,0
0.049,2.930,7.324,-41.016,-3.906,0
0.053,1.953,-3.906,-36.133,-2.441,NaN
0.057,-11.230,-16.602,-28.320,-13.672,0
0.061,-14.648,-41.992,-29.297,-17.090,0
0.065,-23.438,-59.082,-31.738,-22.461,0
0.068,-29.297,-43.457,-28.809,-25.879,0
0.072,-26.367,-46.387,-28.809,-22.949,NaN
0.076,-27.832,-49.805,-32.715,-20.508,0
0.080,-23.926,-22.461,-32.227,-7.324,0
0.084,-20.508,-12.207,-35.156,-8.301,0
0.088,-29.785,-18.555,-51.758,-16.113,0
0.090,-35.156,-20.996,-42.480,-14.648,NaN
0.094,-21.973,-21.484,-19.043,-13.184,0
0.098,-13.672,-16.602,-14.160,-9.766,0
0.102,-19.531,-21.973,-1.465,-6.836,0
0.106,-28.320,-37.598,-4.883,-21.973,NaN
0.110,-35.156,-38.574,-22.461,-30.273,0
0.113,-27.344,-19.531,-24.902,-23.926,0
0.117,-28.320,-19.043,-33.691,-30.762,0
0.121,-27.344,-34.668,-45.898,-34.668,0
0.125,-22.949,-39.551,-45.898,-35.645,NaN
0.129,-25.391,-28.320,-42.969,-29.785,0
0.133,-22.949,-34.180,-27.344,-26.367,0
0.135,-25.879,-48.828,-25.879,-35.156,0
0.139,-11.230,-29.785,-22.949,-18.555,NaN
0.143,1.465,-5.859,0.488,-9.277,0
0.147,-16.602,-6.836,-0.977,-35.156,0
0.151,-32.715,-6.348,-14.160,-47.363,0
0.155,-44.434,-5.371,-22.461,-47.852,0
