timestamps,TP9,AF7,AF8,TP10,Marker0
0.000,-67.383,39.062,-23.438,-98.145,NaN
0.004,-61.523,28.809,-18.066,-101.074,NaN
0.008,-59.082,48.340,-10.254,-91.797,NaN
0.012,-48.828,59.570,-15.625,-82.031,NaN
0.016,-47.363,51.758,-12.695,-83.496,NaN
0.020,-64.453,41.016,-0.488,-81.543,NaN
0.023,-71.777,33.203,1.953,-78.613,NaN
0.027,-67.383,30.762,0.000,-79.590,NaN
0.031,-69.336,37.598,2.441,-74.219,NaN
0.035,-67.871,33.203,1.953,-75.684,0
0.039,-65.430,33.203,-8.301,-79.102,0
0.043,-62.012,37.598,-4.395,-74.707,NaN
0.020,-64.941,45.898,-2.930,-78.125,NaN
0.024,-74.707,54.199,-8.301,-83.496,NaN
0.028,-83.984,46.387,-12.207,-87.402,NaN
0.032,-83.496,39.062,-12.695,-85.938,NaN
0.036,-78.613,40.039,-10.254,-84.473,NaN
0.040,-78.125,38.574,-12.695,-83.984,NaN
0.043,-79.102,33.691,-13.672,-81.543,0
0.047,-87.402,29.785,-10.742,-90.332,0
0.051,-87.402,26.855,0.488,-87.891,0
0.055,-85.449,19.043,15.137,-74.219,NaN
0.059,-86.426,8.789,19.043,-75.195,0
0.063,-79.102,13.184,18.066,-79.590,0
0.076,-80.566,23.438,19.531,-72.754,0
0.080,-88.379,17.090,15.625,-73.730,0
0.084,-82.031,15.625,8.301,-73.730,NaN
0.088,-79.590,22.949,3.906,-66.406,0
0.092,-82.520,13.672,-3.418,-76.172,0
0.096,-73.242,5.859,-7.812,-77.637,0
0.099,-69.336,6.348,0.488,-71.289,NaN
0.103,-73.730,25.391,10.742,-68.359,0
0.107,-76.172,38.086,15.137,-57.129,0
0.111,-80.078,30.762,23.438,-58.594,0
0.115,-85.449,31.738,21.484,-62.988,NaN
0.119,-83.008,33.203,12.207,-59.570,NaN
0.113,-69.336,32.227,2.930,-49.805,NaN
0.117,-68.848,25.879,-2.441,-49.805,0
0.121,-82.031,26.367,22.461,-52.246,0
0.125,-85.938,29.785,41.504,-60.547,0
0.129,-84.961,24.902,34.668,-61.523,NaN
0.133,-83.496,27.832,31.250,-55.176,0
0.136,-82.520,38.574,27.832,-59.082,NaN
0.140,-78.125,28.320,25.391,-62.500,0
0.144,-79.590,25.879,26.855,-68.848,0
0.148,-82.520,38.574,27.344,-68.848,0
0.152,-79.102,36.621,24.414,-62.012,NaN
0.156,-86.914,33.203,19.531,-72.266,0
0.169,-96.191,31.738,15.137,-84.961,0
0.173,-93.262,27.832,19.531,-76.660,0
0.177,-102.051,21.973,30.762,-68.848,NaN
0.181,-91.309,25.879,28.320,-61.523,0
0.185,-79.102,27.344,13.184,-57.617,0
0.189,-76.660,16.113,10.254,-56.152,0
0.192,-67.871,10.254,24.414,-55.176,0
0.196,-70.801,19.531,42.480,-59.570,NaN
0.200,-68.359,31.738,46.387,-62.988,0
0.204,-65.918,32.227,31.738,-63.965,0
0.208,-81.055,23.438,29.785,-66.406,0
0.212,-83.984,23.438,26.855,-69.336,NaN
0.207,-81.543,22.949,14.160,-66.406,NaN
0.211,-81.543,20.508,13.672,-61.035,NaN
0.215,-77.148,23.926,18.555,-57.129,0
0.219,-70.312,20.020,12.695,-50.781,0
0.223,-73.730,18.555,6.348,-47.852,0
0.227,-78.125,22.461,13.672,-46.387,0
0.230,-69.336,24.902,27.832,-39.551,NaN
0.234,-64.453,26.855,37.109,-29.785,0
0.238,-72.266,41.992,40.039,-37.598,0
0.242,-74.707,53.223,45.410,-42.969,0
0.246,-72.266,51.758,33.691,-41.016,0
0.250,-75.684,38.086,12.207,-48.340,0
0.263,-74.707,25.879,16.113,-46.387,0
0.267,-75.684,26.855,33.203,-52.734,0
0.271,-82.031,28.809,38.574,-65.430,0
0.275,-78.613,31.738,38.086,-65.918,NaN
